CLIENTNUM,Attrition_Flag,Attrition_Label
768805383,Existing Customer,0
818770008,Existing Customer,0
713982108,Existing Customer,0
769911858,Existing Customer,0
709106358,Existing Customer,0
713061558,Existing Customer,0
810347208,Existing Customer,0
818906208,Existing Customer,0
710930508,Existing Customer,0
719661558,Existing Customer,0
708790833,Existing Customer,0
710821833,Existing Customer,0
710599683,Existing Customer,0
816082233,Existing Customer,0
712396908,Existing Customer,0
714885258,Existing Customer,0
709967358,Existing Customer,0
753327333,Existing Customer,0
806160108,Existing Customer,0
709327383,Existing Customer,0
806165208,Existing Customer,0
708508758,Attrited Customer,1
784725333,Existing Customer,0
811604133,Existing Customer,0
789124683,Existing Customer,0
771071958,Existing Customer,0
720466383,Existing Customer,0
804424383,Existing Customer,0
718813833,Existing Customer,0
806624208,Existing Customer,0
778348233,Existing Customer,0
712991808,Existing Customer,0
709029408,Existing Customer,0
788658483,Existing Customer,0
787937058,Existing Customer,0
715318008,Existing Customer,0
713962233,Existing Customer,0
785432733,Existing Customer,0
715190283,Existing Customer,0
708300483,Attrited Customer,1
827111283,Existing Customer,0
758551608,Existing Customer,0
773146383,Existing Customer,0
778493808,Existing Customer,0
720572508,Existing Customer,0
712661433,Existing Customer,0
789172683,Existing Customer,0
738406533,Existing Customer,0
799723908,Existing Customer,0
771490833,Existing Customer,0
720756708,Existing Customer,0
779471883,Attrited Customer,1
711525033,Existing Customer,0
712813458,Existing Customer,0
714374133,Attrited Customer,1
717891558,Existing Customer,0
716632758,Existing Customer,0
768563658,Existing Customer,0
711427458,Existing Customer,0
714091983,Existing Customer,0
787584108,Existing Customer,0
712030833,Attrited Customer,1
711481533,Existing Customer,0
710082708,Existing Customer,0
708155733,Existing Customer,0
788979258,Existing Customer,0
807986133,Existing Customer,0
788730933,Existing Customer,0
711314058,Existing Customer,0
717975333,Existing Customer,0
715971108,Existing Customer,0
720096558,Existing Customer,0
719580033,Existing Customer,0
820582308,Existing Customer,0
789973308,Existing Customer,0
712876233,Existing Customer,0
804595158,Existing Customer,0
714826758,Existing Customer,0
779058108,Existing Customer,0
710790258,Existing Customer,0
715623483,Existing Customer,0
715156383,Existing Customer,0
711013983,Attrited Customer,1
755420433,Existing Customer,0
794543958,Existing Customer,0
716396358,Existing Customer,0
