CLIENTNUM,Attrition_Flag,Attrition_Label,Cluster
768805383,Existing Customer,0,3
818770008,Existing Customer,0,3
713982108,Existing Customer,0,3
769911858,Existing Customer,0,3
709106358,Existing Customer,0,3
713061558,Existing Customer,0,3
810347208,Existing Customer,0,3
818906208,Existing Customer,0,3
710930508,Existing Customer,0,3
719661558,Existing Customer,0,3
708790833,Existing Customer,0,3
710821833,Existing Customer,0,3
710599683,Existing Customer,0,3
816082233,Existing Customer,0,3
712396908,Existing Customer,0,3
714885258,Existing Customer,0,3
709967358,Existing Customer,0,3
753327333,Existing Customer,0,3
806160108,Existing Customer,0,3
709327383,Existing Customer,0,3
806165208,Existing Customer,0,3
708508758,Attrited Customer,1,3
784725333,Existing Customer,0,3
811604133,Existing Customer,0,3
789124683,Existing Customer,0,3
771071958,Existing Customer,0,3
720466383,Existing Customer,0,3
804424383,Existing Customer,0,3
718813833,Existing Customer,0,3
806624208,Existing Customer,0,3
778348233,Existing Customer,0,3
712991808,Existing Customer,0,3
709029408,Existing Customer,0,3
788658483,Existing Customer,0,3
787937058,Existing Customer,0,3
715318008,Existing Customer,0,3
713962233,Existing Customer,0,3
785432733,Existing Customer,0,3
715190283,Existing Customer,0,3
708300483,Attrited Customer,1,1
827111283,Existing Customer,0,3
758551608,Existing Customer,0,3
773146383,Existing Customer,0,3
778493808,Existing Customer,0,3
720572508,Existing Customer,0,3
712661433,Existing Customer,0,3
789172683,Existing Customer,0,3
738406533,Existing Customer,0,3
799723908,Existing Customer,0,3
771490833,Existing Customer,0,3
720756708,Existing Customer,0,3
779471883,Attrited Customer,1,3
711525033,Existing Customer,0,3
712813458,Existing Customer,0,3
714374133,Attrited Customer,1,3
717891558,Existing Customer,0,3
716632758,Existing Customer,0,3
768563658,Existing Customer,0,3
711427458,Existing Customer,0,3
714091983,Existing Customer,0,3
787584108,Existing Customer,0,3
712030833,Attrited Customer,1,3
711481533,Existing Customer,0,3
710082708,Existing Customer,0,3
708155733,Existing Customer,0,3
788979258,Existing Customer,0,3
807986133,Existing Customer,0,3
788730933,Existing Customer,0,3
711314058,Existing Customer,0,3
717975333,Existing Customer,0,3
715971108,Existing Customer,0,3
720096558,Existing Customer,0,3
719580033,Existing Customer,0,3
820582308,Existing Customer,0,3
789973308,Existing Customer,0,3
712876233,Existing Customer,0,3
804595158,Existing Customer,0,3
714826758,Existing Customer,0,3
779058108,Existing Customer,0,3
710790258,Existing Customer,0,3
715623483,Existing Customer,0,3
715156383,Existing Customer,0,3
711013983,Attrited Customer,1,1
755420433,Existing Customer,0,3
794543958,Existing Customer,0,3
716396358,Existing Customer,0,3
715398033,Existing Customer,0,3
711743883,Existing Customer,0,3
719720058,Existing Customer,0,3
778992108,Existing Customer,0,3
717539808,Existing Customer,0,3
714070758,Existing Customer,0,3
714107958,Existing Customer,0,3
789140283,Existing Customer,0,3
715550508,Existing Customer,0,3
719712633,Existing Customer,0,3
772629333,Existing Customer,0,3
720336708,Existing Customer,0,3
802013583,Existing Customer,0,3
