Cluster,Feature,Overall_Mean,Cluster_Mean,Deviation_Percent
0,Customer_Age,46.33,46.4,0.16
0,Dependent_count,2.35,2.65,12.94
0,Months_on_book,35.93,36.0,0.21
0,Total_Relationship_Count,3.81,1.71,-55.04
0,Months_Inactive_12_mon,2.34,2.23,-4.76
0,Contacts_Count_12_mon,2.46,2.11,-13.98
0,Credit_Limit,8631.95,20328.28,135.5
0,Total_Revolving_Bal,1162.81,1383.45,18.97
0,Avg_Open_To_Buy,7469.14,18944.83,153.64
0,Total_Amt_Chng_Q4_Q1,0.76,0.78,2.54
0,Total_Trans_Amt,4404.09,7973.09,81.04
0,Total_Trans_Ct,64.86,86.08,32.72
0,Total_Ct_Chng_Q4_Q1,0.71,0.68,-4.76
0,Avg_Utilization_Ratio,0.27,0.12,-55.48
1,Customer_Age,46.33,49.5,6.85
1,Dependent_count,2.35,2.2,-6.27
1,Months_on_book,35.93,40.43,12.52
1,Total_Relationship_Count,3.81,3.87,1.4
1,Months_Inactive_12_mon,2.34,5.28,125.38
1,Contacts_Count_12_mon,2.46,2.47,0.66
1,Credit_Limit,8631.95,4357.82,-49.52
1,Total_Revolving_Bal,1162.81,1015.32,-12.68
1,Avg_Open_To_Buy,7469.14,3342.51,-55.25
1,Total_Amt_Chng_Q4_Q1,0.76,0.74,-2.57
1,Total_Trans_Amt,4404.09,3520.82,-20.06
1,Total_Trans_Ct,64.86,62.34,-3.89
1,Total_Ct_Chng_Q4_Q1,0.71,0.67,-6.34
1,Avg_Utilization_Ratio,0.27,0.32,15.62
2,Customer_Age,46.33,45.11,-2.62
2,Dependent_count,2.35,2.27,-3.18
2,Months_on_book,35.93,35.0,-2.58
2,Total_Relationship_Count,3.81,2.36,-38.13
2,Months_Inactive_12_mon,2.34,2.21,-5.44
2,Contacts_Count_12_mon,2.46,2.22,-9.4
2,Credit_Limit,8631.95,14026.65,62.5
2,Total_Revolving_Bal,1162.81,1367.19,17.58
2,Avg_Open_To_Buy,7469.14,12659.46,69.49
2,Total_Amt_Chng_Q4_Q1,0.76,0.78,1.99
2,Total_Trans_Amt,4404.09,14701.07,233.81
2,Total_Trans_Ct,64.86,110.35,70.14
2,Total_Ct_Chng_Q4_Q1,0.71,0.75,5.39
2,Avg_Utilization_Ratio,0.27,0.18,-34.25
3,Customer_Age,46.33,46.34,0.02
3,Dependent_count,2.35,2.34,-0.08
3,Months_on_book,35.93,35.88,-0.14
3,Total_Relationship_Count,3.81,4.02,5.43
3,Months_Inactive_12_mon,2.34,2.27,-2.86
3,Contacts_Count_12_mon,2.46,2.49,1.35
3,Credit_Limit,8631.95,7818.99,-9.42
3,Total_Revolving_Bal,1162.81,1140.66,-1.91
3,Avg_Open_To_Buy,7469.14,6678.34,-10.59
3,Total_Amt_Chng_Q4_Q1,0.76,0.76,-0.2
3,Total_Trans_Amt,4404.09,3411.17,-22.55
3,Total_Trans_Ct,64.86,60.21,-7.17
3,Total_Ct_Chng_Q4_Q1,0.71,0.71,-0.09
3,Avg_Utilization_Ratio,0.27,0.29,4.72
